Potential Energy , -518.093 , Kinetic Energy , 246.406 , Total Energy , -271.687
Potential Energy , -518.405 , Kinetic Energy , 246.752 , Total Energy , -271.653
Potential Energy , -518.72 , Kinetic Energy , 247.1 , Total Energy , -271.619
Potential Energy , -519.036 , Kinetic Energy , 247.451 , Total Energy , -271.585
Potential Energy , -519.355 , Kinetic Energy , 247.804 , Total Energy , -271.551
Potential Energy , -519.676 , Kinetic Energy , 248.159 , Total Energy , -271.517
Potential Energy , -520 , Kinetic Energy , 248.517 , Total Energy , -271.483
Potential Energy , -520.325 , Kinetic Energy , 248.877 , Total Energy , -271.449
Potential Energy , -520.653 , Kinetic Energy , 249.239 , Total Energy , -271.414
Potential Energy , -520.983 , Kinetic Energy , 249.603 , Total Energy , -271.38
Potential Energy , -521.315 , Kinetic Energy , 249.97 , Total Energy , -271.345
Potential Energy , -521.649 , Kinetic Energy , 250.338 , Total Energy , -271.31
Potential Energy , -521.985 , Kinetic Energy , 250.709 , Total Energy , -271.276
Potential Energy , -522.323 , Kinetic Energy , 251.083 , Total Energy , -271.241
Potential Energy , -522.663 , Kinetic Energy , 251.458 , Total Energy , -271.205
Potential Energy , -523.006 , Kinetic Energy , 251.835 , Total Energy , -271.17
Potential Energy , -523.35 , Kinetic Energy , 252.215 , Total Energy , -271.135
Potential Energy , -523.696 , Kinetic Energy , 252.597 , Total Energy , -271.1
Potential Energy , -524.045 , Kinetic Energy , 252.981 , Total Energy , -271.064
Potential Energy , -524.395 , Kinetic Energy , 253.366 , Total Energy , -271.028
Potential Energy , -524.747 , Kinetic Energy , 253.754 , Total Energy , -270.992
Potential Energy , -525.101 , Kinetic Energy , 254.144 , Total Energy , -270.957
Potential Energy , -525.457 , Kinetic Energy , 254.536 , Total Energy , -270.921
Potential Energy , -525.815 , Kinetic Energy , 254.93 , Total Energy , -270.884
Potential Energy , -526.174 , Kinetic Energy , 255.326 , Total Energy , -270.848
Potential Energy , -526.536 , Kinetic Energy , 255.724 , Total Energy , -270.812
Potential Energy , -526.899 , Kinetic Energy , 256.124 , Total Energy , -270.775
Potential Energy , -527.264 , Kinetic Energy , 256.525 , Total Energy , -270.738
Potential Energy , -527.631 , Kinetic Energy , 256.929 , Total Energy , -270.702
Potential Energy , -527.999 , Kinetic Energy , 257.334 , Total Energy , -270.665
