Potential Energy , -254.764 , Kinetic Energy , 85.1374 , Total Energy , -169.626, Delta Energy , -5.28028e-05, Time , 82
Potential Energy , -254.754 , Kinetic Energy , 85.1273 , Total Energy , -169.626, Delta Energy , -5.15122e-05, Time , 82.5
Potential Energy , -254.744 , Kinetic Energy , 85.1172 , Total Energy , -169.626, Delta Energy , -5.02892e-05, Time , 83
Potential Energy , -254.734 , Kinetic Energy , 85.1072 , Total Energy , -169.626, Delta Energy , -4.91496e-05, Time , 83.5
Potential Energy , -254.724 , Kinetic Energy , 85.0972 , Total Energy , -169.626, Delta Energy , -4.81083e-05, Time , 84
Potential Energy , -254.714 , Kinetic Energy , 85.0872 , Total Energy , -169.626, Delta Energy , -4.71793e-05, Time , 84.5
Potential Energy , -254.704 , Kinetic Energy , 85.0772 , Total Energy , -169.626, Delta Energy , -4.6375e-05, Time , 85
Potential Energy , -254.694 , Kinetic Energy , 85.0672 , Total Energy , -169.626, Delta Energy , -4.57061e-05, Time , 85.5
Potential Energy , -254.684 , Kinetic Energy , 85.0573 , Total Energy , -169.626, Delta Energy , -4.51813e-05, Time , 86
Potential Energy , -254.674 , Kinetic Energy , 85.0473 , Total Energy , -169.626, Delta Energy , -4.48071e-05, Time , 86.5
Potential Energy , -254.664 , Kinetic Energy , 85.0374 , Total Energy , -169.626, Delta Energy , -4.45877e-05, Time , 87
Potential Energy , -254.654 , Kinetic Energy , 85.0275 , Total Energy , -169.626, Delta Energy , -4.45248e-05, Time , 87.5
Potential Energy , -254.644 , Kinetic Energy , 85.0176 , Total Energy , -169.626, Delta Energy , -4.4618e-05, Time , 88
Potential Energy , -254.634 , Kinetic Energy , 85.0077 , Total Energy , -169.626, Delta Energy , -4.48647e-05, Time , 88.5
Potential Energy , -254.624 , Kinetic Energy , 84.9978 , Total Energy , -169.626, Delta Energy , -4.52606e-05, Time , 89
Potential Energy , -254.614 , Kinetic Energy , 84.9879 , Total Energy , -169.626, Delta Energy , -4.57994e-05, Time , 89.5
Potential Energy , -254.605 , Kinetic Energy , 84.9781 , Total Energy , -169.626, Delta Energy , -4.64737e-05, Time , 90
Potential Energy , -254.595 , Kinetic Energy , 84.9683 , Total Energy , -169.626, Delta Energy , -4.72749e-05, Time , 90.5
Potential Energy , -254.585 , Kinetic Energy , 84.9585 , Total Energy , -169.626, Delta Energy , -4.81937e-05, Time , 91
Potential Energy , -254.575 , Kinetic Energy , 84.9488 , Total Energy , -169.626, Delta Energy , -4.92202e-05, Time , 91.5
Potential Energy , -254.566 , Kinetic Energy , 84.9391 , Total Energy , -169.626, Delta Energy , -5.03442e-05, Time , 92
Potential Energy , -254.556 , Kinetic Energy , 84.9295 , Total Energy , -169.626, Delta Energy , -5.15552e-05, Time , 92.5
Potential Energy , -254.546 , Kinetic Energy , 84.92 , Total Energy , -169.626, Delta Energy , -5.28431e-05, Time , 93
Potential Energy , -254.537 , Kinetic Energy , 84.9105 , Total Energy , -169.626, Delta Energy , -5.41977e-05, Time , 93.5
Potential Energy , -254.528 , Kinetic Energy , 84.9011 , Total Energy , -169.626, Delta Energy , -5.56092e-05, Time , 94
Potential Energy , -254.518 , Kinetic Energy , 84.8918 , Total Energy , -169.626, Delta Energy , -5.70681e-05, Time , 94.5
Potential Energy , -254.509 , Kinetic Energy , 84.8826 , Total Energy , -169.626, Delta Energy , -5.85651e-05, Time , 95
Potential Energy , -254.5 , Kinetic Energy , 84.8735 , Total Energy , -169.626, Delta Energy , -6.00917e-05, Time , 95.5
Potential Energy , -254.491 , Kinetic Energy , 84.8645 , Total Energy , -169.626, Delta Energy , -6.16395e-05, Time , 96
Potential Energy , -254.482 , Kinetic Energy , 84.8557 , Total Energy , -169.626, Delta Energy , -6.32007e-05, Time , 96.5
Potential Energy , -254.473 , Kinetic Energy , 84.847 , Total Energy , -169.626, Delta Energy , -6.47681e-05, Time , 97
Potential Energy , -254.465 , Kinetic Energy , 84.8384 , Total Energy , -169.626, Delta Energy , -6.63348e-05, Time , 97.5
Potential Energy , -254.456 , Kinetic Energy , 84.83 , Total Energy , -169.626, Delta Energy , -6.78945e-05, Time , 98
Potential Energy , -254.448 , Kinetic Energy , 84.8217 , Total Energy , -169.626, Delta Energy , -6.94415e-05, Time , 98.5
Potential Energy , -254.44 , Kinetic Energy , 84.8137 , Total Energy , -169.626, Delta Energy , -7.09704e-05, Time , 99
Potential Energy , -254.432 , Kinetic Energy , 84.8058 , Total Energy , -169.626, Delta Energy , -7.24767e-05, Time , 99.5
Potential Energy , -254.424 , Kinetic Energy , 84.7981 , Total Energy , -169.626, Delta Energy , -7.39562e-05, Time , 100
Potential Energy , -254.417 , Kinetic Energy , 84.7906 , Total Energy , -169.626, Delta Energy , -7.54052e-05, Time , 100.5
Potential Energy , -254.41 , Kinetic Energy , 84.7833 , Total Energy , -169.626, Delta Energy , -7.68207e-05, Time , 101
Potential Energy , -254.403 , Kinetic Energy , 84.7762 , Total Energy , -169.626, Delta Energy , -7.82001e-05, Time , 101.5
Potential Energy , -254.396 , Kinetic Energy , 84.7693 , Total Energy , -169.626, Delta Energy , -7.95412e-05, Time , 102
Potential Energy , -254.389 , Kinetic Energy , 84.7627 , Total Energy , -169.626, Delta Energy , -8.08426e-05, Time , 102.5
Potential Energy , -254.383 , Kinetic Energy , 84.7563 , Total Energy , -169.626, Delta Energy , -8.21029e-05, Time , 103
Potential Energy , -254.377 , Kinetic Energy , 84.7502 , Total Energy , -169.626, Delta Energy , -8.33214e-05, Time , 103.5
Potential Energy , -254.371 , Kinetic Energy , 84.7442 , Total Energy , -169.626, Delta Energy , -8.44976e-05, Time , 104
Potential Energy , -254.365 , Kinetic Energy , 84.7386 , Total Energy , -169.626, Delta Energy , -8.56314e-05, Time , 104.5
Potential Energy , -254.36 , Kinetic Energy , 84.7332 , Total Energy , -169.626, Delta Energy , -8.6723e-05, Time , 105
Potential Energy , -254.354 , Kinetic Energy , 84.7281 , Total Energy , -169.626, Delta Energy , -8.77729e-05, Time , 105.5
Potential Energy , -254.35 , Kinetic Energy , 84.7232 , Total Energy , -169.626, Delta Energy , -8.87815e-05, Time , 106
Potential Energy , -254.345 , Kinetic Energy , 84.7186 , Total Energy , -169.626, Delta Energy , -8.97498e-05, Time , 106.5
Potential Energy , -254.341 , Kinetic Energy , 84.7143 , Total Energy , -169.626, Delta Energy , -9.06787e-05, Time , 107
Potential Energy , -254.337 , Kinetic Energy , 84.7103 , Total Energy , -169.626, Delta Energy , -9.15693e-05, Time , 107.5
Potential Energy , -254.333 , Kinetic Energy , 84.7065 , Total Energy , -169.626, Delta Energy , -9.24226e-05, Time , 108
Potential Energy , -254.329 , Kinetic Energy , 84.7031 , Total Energy , -169.626, Delta Energy , -9.32399e-05, Time , 108.5
Potential Energy , -254.326 , Kinetic Energy , 84.6999 , Total Energy , -169.626, Delta Energy , -9.40224e-05, Time , 109
Potential Energy , -254.323 , Kinetic Energy , 84.6971 , Total Energy , -169.626, Delta Energy , -9.47715e-05, Time , 109.5
Potential Energy , -254.321 , Kinetic Energy , 84.6945 , Total Energy , -169.626, Delta Energy , -9.54884e-05, Time , 110
Potential Energy , -254.319 , Kinetic Energy , 84.6923 , Total Energy , -169.626, Delta Energy , -9.61743e-05, Time , 110.5
