Potential Energy , -181.5 , Kinetic Energy , 78.8345 , Total Energy , -102.665, Delta Energy , -0.00168249, Time , 218
Potential Energy , -181.47 , Kinetic Energy , 78.805 , Total Energy , -102.665, Delta Energy , -0.00167991, Time , 220
Potential Energy , -181.443 , Kinetic Energy , 78.7778 , Total Energy , -102.665, Delta Energy , -0.00167559, Time , 222
Potential Energy , -181.418 , Kinetic Energy , 78.753 , Total Energy , -102.665, Delta Energy , -0.00166939, Time , 224
Potential Energy , -181.396 , Kinetic Energy , 78.7304 , Total Energy , -102.665, Delta Energy , -0.00166107, Time , 226
Potential Energy , -181.375 , Kinetic Energy , 78.7101 , Total Energy , -102.665, Delta Energy , -0.00165028, Time , 228
Potential Energy , -181.357 , Kinetic Energy , 78.6919 , Total Energy , -102.665, Delta Energy , -0.00163654, Time , 230
Potential Energy , -181.341 , Kinetic Energy , 78.676 , Total Energy , -102.665, Delta Energy , -0.0016192, Time , 232
Potential Energy , -181.327 , Kinetic Energy , 78.6622 , Total Energy , -102.665, Delta Energy , -0.00159743, Time , 234
Potential Energy , -181.316 , Kinetic Energy , 78.6505 , Total Energy , -102.665, Delta Energy , -0.00157009, Time , 236
Potential Energy , -181.306 , Kinetic Energy , 78.6407 , Total Energy , -102.665, Delta Energy , -0.00153575, Time , 238
Potential Energy , -181.298 , Kinetic Energy , 78.6329 , Total Energy , -102.665, Delta Energy , -0.00149254, Time , 240
Potential Energy , -181.292 , Kinetic Energy , 78.6268 , Total Energy , -102.665, Delta Energy , -0.00143827, Time , 242
Potential Energy , -181.288 , Kinetic Energy , 78.6222 , Total Energy , -102.665, Delta Energy , -0.0013706, Time , 244
Potential Energy , -181.284 , Kinetic Energy , 78.619 , Total Energy , -102.666, Delta Energy , -0.00128793, Time , 246
Potential Energy , -181.282 , Kinetic Energy , 78.6165 , Total Energy , -102.666, Delta Energy , -0.00119104, Time , 248
Potential Energy , -181.28 , Kinetic Energy , 78.6144 , Total Energy , -102.666, Delta Energy , -0.00108576, Time , 250
Potential Energy , -181.278 , Kinetic Energy , 78.6121 , Total Energy , -102.666, Delta Energy , -0.000985386, Time , 252
Potential Energy , -181.275 , Kinetic Energy , 78.6088 , Total Energy , -102.666, Delta Energy , -0.000910023, Time , 254
Potential Energy , -181.27 , Kinetic Energy , 78.6042 , Total Energy , -102.666, Delta Energy , -0.000879932, Time , 256
Potential Energy , -181.264 , Kinetic Energy , 78.598 , Total Energy , -102.666, Delta Energy , -0.000904954, Time , 258
Potential Energy , -181.256 , Kinetic Energy , 78.5903 , Total Energy , -102.666, Delta Energy , -0.000978107, Time , 260
Potential Energy , -181.247 , Kinetic Energy , 78.5816 , Total Energy , -102.666, Delta Energy , -0.00107962, Time , 262
Potential Energy , -181.238 , Kinetic Energy , 78.5724 , Total Energy , -102.666, Delta Energy , -0.00118764, Time , 264
Potential Energy , -181.229 , Kinetic Energy , 78.5633 , Total Energy , -102.666, Delta Energy , -0.00128661, Time , 266
Potential Energy , -181.22 , Kinetic Energy , 78.5549 , Total Energy , -102.665, Delta Energy , -0.0013694, Time , 268
Potential Energy , -181.213 , Kinetic Energy , 78.5475 , Total Energy , -102.665, Delta Energy , -0.00143504, Time , 270
Potential Energy , -181.207 , Kinetic Energy , 78.5414 , Total Energy , -102.665, Delta Energy , -0.0014857, Time , 272
Potential Energy , -181.202 , Kinetic Energy , 78.5369 , Total Energy , -102.665, Delta Energy , -0.0015245, Time , 274
Potential Energy , -181.199 , Kinetic Energy , 78.5338 , Total Energy , -102.665, Delta Energy , -0.00155437, Time , 276
Potential Energy , -181.198 , Kinetic Energy , 78.5323 , Total Energy , -102.665, Delta Energy , -0.00157768, Time , 278
Potential Energy , -181.198 , Kinetic Energy , 78.5324 , Total Energy , -102.665, Delta Energy , -0.00159617, Time , 280
Potential Energy , -181.199 , Kinetic Energy , 78.534 , Total Energy , -102.665, Delta Energy , -0.00161107, Time , 282
Potential Energy , -181.202 , Kinetic Energy , 78.537 , Total Energy , -102.665, Delta Energy , -0.0016232, Time , 284
Potential Energy , -181.207 , Kinetic Energy , 78.5415 , Total Energy , -102.665, Delta Energy , -0.0016331, Time , 286
Potential Energy , -181.213 , Kinetic Energy , 78.5474 , Total Energy , -102.665, Delta Energy , -0.00164112, Time , 288
Potential Energy , -181.22 , Kinetic Energy , 78.5547 , Total Energy , -102.665, Delta Energy , -0.00164748, Time , 290
Potential Energy , -181.228 , Kinetic Energy , 78.5633 , Total Energy , -102.665, Delta Energy , -0.00165234, Time , 292
Potential Energy , -181.238 , Kinetic Energy , 78.5732 , Total Energy , -102.665, Delta Energy , -0.00165578, Time , 294
Potential Energy , -181.249 , Kinetic Energy , 78.5843 , Total Energy , -102.665, Delta Energy , -0.00165788, Time , 296
Potential Energy , -181.262 , Kinetic Energy , 78.5967 , Total Energy , -102.665, Delta Energy , -0.00165868, Time , 298
