Potential Energy , -282.928 , Kinetic Energy , 141.712 , Total Energy , -141.217, Delta Energy , 2.75213e-09, Time , 53, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.901 , Kinetic Energy , 141.684 , Total Energy , -141.217, Delta Energy , 2.74665e-09, Time , 53.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.874 , Kinetic Energy , 141.657 , Total Energy , -141.217, Delta Energy , 2.74088e-09, Time , 54, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.847 , Kinetic Energy , 141.63 , Total Energy , -141.217, Delta Energy , 2.73428e-09, Time , 54.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.82 , Kinetic Energy , 141.603 , Total Energy , -141.217, Delta Energy , 2.72738e-09, Time , 55, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.792 , Kinetic Energy , 141.576 , Total Energy , -141.217, Delta Energy , 2.71987e-09, Time , 55.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.765 , Kinetic Energy , 141.548 , Total Energy , -141.217, Delta Energy , 2.71183e-09, Time , 56, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.738 , Kinetic Energy , 141.521 , Total Energy , -141.217, Delta Energy , 2.70322e-09, Time , 56.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.71 , Kinetic Energy , 141.493 , Total Energy , -141.217, Delta Energy , 2.69409e-09, Time , 57, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.682 , Kinetic Energy , 141.466 , Total Energy , -141.217, Delta Energy , 2.68443e-09, Time , 57.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.655 , Kinetic Energy , 141.438 , Total Energy , -141.217, Delta Energy , 2.67426e-09, Time , 58, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.627 , Kinetic Energy , 141.41 , Total Energy , -141.217, Delta Energy , 2.66374e-09, Time , 58.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.599 , Kinetic Energy , 141.382 , Total Energy , -141.217, Delta Energy , 2.65254e-09, Time , 59, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.57 , Kinetic Energy , 141.354 , Total Energy , -141.217, Delta Energy , 2.64086e-09, Time , 59.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.542 , Kinetic Energy , 141.325 , Total Energy , -141.217, Delta Energy , 2.62875e-09, Time , 60, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.513 , Kinetic Energy , 141.296 , Total Energy , -141.217, Delta Energy , 2.61645e-09, Time , 60.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.484 , Kinetic Energy , 141.267 , Total Energy , -141.217, Delta Energy , 2.60374e-09, Time , 61, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.455 , Kinetic Energy , 141.238 , Total Energy , -141.217, Delta Energy , 2.5907e-09, Time , 61.5, Angular Momentum , 0.000000,0.000000,-95068.800000
