Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 8.52651e-14, Time , 41.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.42109e-13, Time , 42, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.42109e-13, Time , 42.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.13687e-13, Time , 43, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.13687e-13, Time , 43.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 8.52651e-14, Time , 44, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.42109e-13, Time , 44.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.42109e-13, Time , 45, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.13687e-13, Time , 45.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.13687e-13, Time , 46, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 8.52651e-14, Time , 46.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.42109e-13, Time , 47, Angular Momentum , 0.000000,0.000000,-95068.800000
