Potential Energy , -0.497248 , Kinetic Energy , 0.247292 , Total Energy , -0.249956, Delta Energy , -4.43219e-05, Time , 112
Potential Energy , -0.499474 , Kinetic Energy , 0.249482 , Total Energy , -0.249991, Delta Energy , -8.59064e-06, Time , 113
Potential Energy , -0.499932 , Kinetic Energy , 0.249933 , Total Energy , -0.249999, Delta Energy , -1.111e-06, Time , 114
Potential Energy , -0.498493 , Kinetic Energy , 0.248518 , Total Energy , -0.249976, Delta Energy , -2.44508e-05, Time , 115
Potential Energy , -0.49556 , Kinetic Energy , 0.245631 , Total Energy , -0.249929, Delta Energy , -7.0769e-05, Time , 116
Potential Energy , -0.491916 , Kinetic Energy , 0.242042 , Total Energy , -0.249874, Delta Energy , -0.000126003, Time , 117
Potential Energy , -0.488467 , Kinetic Energy , 0.238643 , Total Energy , -0.249824, Delta Energy , -0.000175991, Time , 118
Potential Energy , -0.486006 , Kinetic Energy , 0.236216 , Total Energy , -0.24979, Delta Energy , -0.000210355, Time , 119
Potential Energy , -0.485058 , Kinetic Energy , 0.235282 , Total Energy , -0.249777, Delta Energy , -0.000223298, Time , 120
Potential Energy , -0.485819 , Kinetic Energy , 0.236032 , Total Energy , -0.249787, Delta Energy , -0.000212919, Time , 121
Potential Energy , -0.488132 , Kinetic Energy , 0.238313 , Total Energy , -0.249819, Delta Energy , -0.00018073, Time , 122
Potential Energy , -0.491506 , Kinetic Energy , 0.241638 , Total Energy , -0.249868, Delta Energy , -0.000132053, Time , 123
Potential Energy , -0.495173 , Kinetic Energy , 0.24525 , Total Energy , -0.249923, Delta Energy , -7.6751e-05, Time , 124
Potential Energy , -0.498229 , Kinetic Energy , 0.248258 , Total Energy , -0.249971, Delta Energy , -2.86939e-05, Time , 125
Potential Energy , -0.499863 , Kinetic Energy , 0.249865 , Total Energy , -0.249998, Delta Energy , -2.24416e-06, Time , 126
Potential Energy , -0.499619 , Kinetic Energy , 0.249626 , Total Energy , -0.249994, Delta Energy , -6.22147e-06, Time , 127
Potential Energy , -0.497567 , Kinetic Energy , 0.247607 , Total Energy , -0.249961, Delta Energy , -3.92581e-05, Time , 128
Potential Energy , -0.494273 , Kinetic Energy , 0.244364 , Total Energy , -0.249909, Delta Energy , -9.0561e-05, Time , 129
Potential Energy , -0.490597 , Kinetic Energy , 0.240742 , Total Energy , -0.249855, Delta Energy , -0.000145379, Time , 130
Potential Energy , -0.487426 , Kinetic Energy , 0.237617 , Total Energy , -0.249809, Delta Energy , -0.000190654, Time , 131
Potential Energy , -0.48547 , Kinetic Energy , 0.235687 , Total Energy , -0.249782, Delta Energy , -0.000217698, Time , 132
Potential Energy , -0.485137 , Kinetic Energy , 0.23536 , Total Energy , -0.249778, Delta Energy , -0.000222224, Time , 133
Potential Energy , -0.486497 , Kinetic Energy , 0.236701 , Total Energy , -0.249796, Delta Energy , -0.00020358, Time , 134
Potential Energy , -0.489268 , Kinetic Energy , 0.239433 , Total Energy , -0.249835, Delta Energy , -0.000164571, Time , 135
Potential Energy , -0.492849 , Kinetic Energy , 0.242961 , Total Energy , -0.249888, Delta Energy , -0.000112106, Time , 136
Potential Energy , -0.496399 , Kinetic Energy , 0.246457 , Total Energy , -0.249942, Delta Energy , -5.76912e-05, Time , 137
Potential Energy , -0.49902 , Kinetic Energy , 0.249036 , Total Energy , -0.249984, Delta Energy , -1.59606e-05, Time , 138
Potential Energy , -0.5 , Kinetic Energy , 0.25 , Total Energy , -0.25, Delta Energy , -2.22724e-09, Time , 139
Potential Energy , -0.499064 , Kinetic Energy , 0.249079 , Total Energy , -0.249985, Delta Energy , -1.52483e-05, Time , 140
Potential Energy , -0.496475 , Kinetic Energy , 0.246532 , Total Energy , -0.249943, Delta Energy , -5.65041e-05, Time , 141
Potential Energy , -0.492936 , Kinetic Energy , 0.243047 , Total Energy , -0.249889, Delta Energy , -0.000110794, Time , 142
Potential Energy , -0.489346 , Kinetic Energy , 0.23951 , Total Energy , -0.249837, Delta Energy , -0.000163455, Time , 143
Potential Energy , -0.486548 , Kinetic Energy , 0.236751 , Total Energy , -0.249797, Delta Energy , -0.000202877, Time , 144
Potential Energy , -0.48515 , Kinetic Energy , 0.235372 , Total Energy , -0.249778, Delta Energy , -0.000222048, Time , 145
Potential Energy , -0.485442 , Kinetic Energy , 0.23566 , Total Energy , -0.249782, Delta Energy , -0.000218073, Time , 146
Potential Energy , -0.487364 , Kinetic Energy , 0.237556 , Total Energy , -0.249808, Delta Energy , -0.000191524, Time , 147
Potential Energy , -0.490513 , Kinetic Energy , 0.24066 , Total Energy , -0.249853, Delta Energy , -0.000146598, Time , 148
Potential Energy , -0.494188 , Kinetic Energy , 0.244279 , Total Energy , -0.249908, Delta Energy , -9.18687e-05, Time , 149
Potential Energy , -0.497501 , Kinetic Energy , 0.247541 , Total Energy , -0.24996, Delta Energy , -4.0311e-05, Time , 150
Potential Energy , -0.49959 , Kinetic Energy , 0.249597 , Total Energy , -0.249993, Delta Energy , -6.69222e-06, Time , 151
Potential Energy , -0.49988 , Kinetic Energy , 0.249882 , Total Energy , -0.249998, Delta Energy , -1.97187e-06, Time , 152
Potential Energy , -0.498287 , Kinetic Energy , 0.248314 , Total Energy , -0.249972, Delta Energy , -2.77727e-05, Time , 153
Potential Energy , -0.495256 , Kinetic Energy , 0.245331 , Total Energy , -0.249925, Delta Energy , -7.54772e-05, Time , 154
Potential Energy , -0.491593 , Kinetic Energy , 0.241723 , Total Energy , -0.249869, Delta Energy , -0.00013078, Time , 155
Potential Energy , -0.488202 , Kinetic Energy , 0.238382 , Total Energy , -0.24982, Delta Energy , -0.000179745, Time , 156
Potential Energy , -0.485857 , Kinetic Energy , 0.236069 , Total Energy , -0.249788, Delta Energy , -0.000212399, Time , 157
Potential Energy , -0.485056 , Kinetic Energy , 0.23528 , Total Energy , -0.249777, Delta Energy , -0.000223323, Time , 158
Potential Energy , -0.485965 , Kinetic Energy , 0.236176 , Total Energy , -0.249789, Delta Energy , -0.00021092, Time , 159
Potential Energy , -0.488395 , Kinetic Energy , 0.238572 , Total Energy , -0.249823, Delta Energy , -0.000177011, Time , 160
Potential Energy , -0.491829 , Kinetic Energy , 0.241956 , Total Energy , -0.249873, Delta Energy , -0.00012729, Time , 161
Potential Energy , -0.495479 , Kinetic Energy , 0.245551 , Total Energy , -0.249928, Delta Energy , -7.20262e-05, Time , 162
Potential Energy , -0.498439 , Kinetic Energy , 0.248464 , Total Energy , -0.249975, Delta Energy , -2.53248e-05, Time , 163
Potential Energy , -0.499919 , Kinetic Energy , 0.249921 , Total Energy , -0.249999, Delta Energy , -1.31814e-06, Time , 164
Potential Energy , -0.499507 , Kinetic Energy , 0.249515 , Total Energy , -0.249992, Delta Energy , -8.05901e-06, Time , 165
Potential Energy , -0.497317 , Kinetic Energy , 0.24736 , Total Energy , -0.249957, Delta Energy , -4.32323e-05, Time , 166
Potential Energy , -0.493953 , Kinetic Energy , 0.244048 , Total Energy , -0.249905, Delta Energy , -9.54417e-05, Time , 167
Potential Energy , -0.490287 , Kinetic Energy , 0.240436 , Total Energy , -0.24985, Delta Energy , -0.00014989, Time , 168
Potential Energy , -0.487198 , Kinetic Energy , 0.237392 , Total Energy , -0.249806, Delta Energy , -0.000193845, Time , 169
Potential Energy , -0.485372 , Kinetic Energy , 0.235591 , Total Energy , -0.249781, Delta Energy , -0.000219029, Time , 170
